Problem			LBNEH				FDPNEH				GRASP basic version		GRASP path relinking			
			1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4
Size3_Problem9		10213	8965	13639	13767	10106	8832	13442	13758	8486	7994	12307	12939	8486	7957	12307	12981
Size3_Problem10		7136	4941	12160	15848	6944	5944	11528	16440	6580	4819	11128	15454	6619	4819	11116	15426
Size4_Problem1		6012	770	18933	7980	4765	309	15917	7191	1750	0	11509	2298	1568	0	11465	2442
Size4_Problem2		9356	841	18520	15213	6388	61	16483	14828	3619	0	11447	10350	3422	0	11224	10020
Size4_Problem3		8732	1345	15691	15372	6326	566	15640	14364	2738	39	11242	10918	2547	39	11425	11018
Size4_Problem4		7451	2268	19492	15198	5590	1107	18548	14758	2507	0	12427	12259	2109	0	12364	12329
Size4_Problem5		9044	318	18269	14191	6384	50	16090	14558	1947	0	11741	9385	2018	0	11548	9532
Size4_Problem6		7684	4576	21424	13825	6701	3894	21449	11949	2384	639	17375	9670	1882	510	17132	9517
Size4_Problem7		6086	502	16755	19309	3895	79	14578	20582	1363	0	10166	17072	1396	0	10580	16623
Size4_Problem8		8236	3581	22122	16267	7831	823	18381	16288	3385	0	14492	11934	3289	0	14393	11715
Size4_Problem9		8163	1825	18091	10942	5838	362	15177	11697	2849	0	12454	8502	2451	0	12651	8329
Size4_Problem10		11204	2513	16644	17888	8302	1894	13993	17346	4331	0	10637	13117	4535	0	10529	12665
Size5_Problem1		14601	6828	31468	28550	15103	5627	30544	28419	9093	3332	26322	25556	9089	3429	26281	25110
Size5_Problem2		12154	3012	33239	23453	10868	3352	35114	23743	7109	448	28609	19265	6801	439	27636	19365
Size5_Problem3		16988	4427	26462	27803	13871	3685	24801	29035	8745	1601	19241	23113	7905	1602	19549	23247
Size5_Problem4		15685	4283	27305	28504	15127	4169	31433	26818	7673	606	19303	24242	8030	574	19200	23769
Size5_Problem5		17624	9325	29486	32375	15854	10463	27761	30703	12158	5255	21017	26618	12325	5232	20950	26946
Size5_Problem6		11829	3908	27773	27704	9544	3500	28220	29065	5591	1105	24070	22848	5721	1009	24283	22297
Size5_Problem7		9076	2811	22401	24410	7363	1972	24041	24567	4080	645	18719	20836	4325	606	18834	20432
Size5_Problem8		11163	5724	26778	23803	9016	4210	25940	20573	6152	2189	20852	16949	6102	2145	20900	16157
Size5_Problem9		12967	7459	32453	26898	15222	6613	31283	25344	8720	3968	26400	21328	8447	3646	26189	21382
Size5_Problem10		12020	2171	31598	20080	12354	1603	31034	20288	5678	382	24069	17197	5697	340	24023	16831
Size6_Problem1		19186	12750	53769	55329	18989	13431	54014	57769	13557	10232	47601	52429	13132	9990	48065	51719
Size6_Problem2		18858	14119	43632	44147	17832	13585	43332	46879	14580	10367	39986	41482	14025	10200	39630	41092
Size6_Problem3		19262	21521	45974	48886	17702	20675	43447	50507	10032	15144	37968	45909	9921	15552	37627	45677
Size6_Problem4		22181	11853	42271	57207	23082	13592	42194	55744	15693	9970	38241	52540	15548	9973	37943	52821
Size6_Problem5		23636	8317	40830	38131	23480	5931	42481	38809	17387	3423	38598	34695	17351	3520	37700	34750
